Time;Xpos;Ypos;Zpos;Roll;Pitch;Yaw
J0:19:15:00:040;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:00:440;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:00:846;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:01:239;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:01:639;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:02:039;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:02:439;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:02:845;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:03:245;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:03:638;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:04:038;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:04:437;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:04:844;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:05:244;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:05:643;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:06:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:06:436;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:06:843;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:07:242;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:07:642;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:08:035;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:08:435;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:08:841;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:09:241;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:09:641;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:10:041;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:10:434;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:10:840;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:11:240;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:11:640;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:12:040;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:12:439;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:12:846;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:13:239;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:13:639;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:14:038;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:14:438;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:14:845;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:15:244;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:15:638;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:16:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:16:437;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:16:843;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:17:243;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:17:643;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:18:036;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:18:436;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:18:842;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:19:242;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:19:642;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:20:042;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:20:435;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:20:841;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:21:241;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:21:641;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:22:040;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:22:440;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:22:840;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:23:240;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:23:640;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:24:039;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:24:439;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:24:845;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:25:239;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:25:638;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:26:038;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:26:438;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:26:844;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:27:244;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:27:637;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:28:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:28:437;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:28:843;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:29:243;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:29:643;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
